,calle,barrio,municipio,tipo_vivienda,titulo,habitaciones,metros_cuadrados,aseos,planta,descripcion,etiquetas,garaje,precio
11,Casa o chalet independiente en calle 117,La Cañada,Paterna,Chalet,"Casa o chalet independiente en calle 117, 3, La Cañada, Paterna",3,120,,,"Se vende chalet de una planta en perfectas condiciones, con armarios empotrados, mucha luz, cocina amueblada, puertas nuevas, en maravillosa zona residencial, con todos los servicios cerca.",[],No,690000
12,Casa o chalet independiente en calle 577,La Cañada,Paterna,Chalet,"Casa o chalet independiente en calle 577, 12, La Cañada, Paterna",3,115,,,"Se vende chalet unifamiliar, en zona inmejorable. Dispone de dos plantas, tres habitaciones, dos baño. Zona escolar, con supermercados y ocio cerca.",[],No,679900
13,Casa de pueblo en calle Major,Centro Ciudad,Manises,Chalet,"Casa de pueblo en calle Major, 46, Centro Ciudad, Manises",3,194,,,"Para reforma completa o derribo y construcción desde cero.
Planta baja 2 locales comerciales y primera planta vivienda.",[],No,125000
14,Piso en Centro Ciudad,Piso en Centro Ciudad,Paterna,Piso,"Piso en Centro Ciudad, Paterna",4,93,,Planta 2ª exterior con ascensor,"Si quieres vivir en el centro de Paterna, no dudes en ver esta bonita vivienda de 93 m², distribuida en 4 habitaciones, dos baños completos, salón con cocina americana y balcón con vistas a la calle. Estoy totalmente reformado a estrenar, con carpintería exterior climalit, interior lacada en blanco, suelo de gres imita",[],No,193000
15,Ático en calle de l'Alborgí,El Alborgí,Paterna,,"Ático en calle de l'Alborgí, El Alborgí, Paterna",3,74,,Planta 4ª exterior con ascensor,"TECNOCASA GESTIONA EN EXCLUSIVA - ÁTICO ZONA ALBORGI
¡No pierdas la oportunidad de vivir en este maravilloso ático en el corazón de Paterna! Ubicado en una finca bien conservada y tranquila, en una cuarta planta con ascensor, este piso cuenta con todo lo que necesitas para disfrutar de una vida cómoda y relajada.
Con",[],No,167500
16,Piso en calle del Mestre Ramón Ramia Querol,Centro Ciudad,Paterna,Piso,"Piso en calle del Mestre Ramón Ramia Querol, Centro Ciudad, Paterna",2,75,,,"TECNOCASA GESTIONA EN EXCLUSIVA - TORRE DE PATERNA
¿Buscas un hogar en una ubicación céntrica y con todas las comodidades? Este piso en Paterna es justo lo que necesitas. Construido en 2008 con las mejores calidades de la época, se encuentra en perfectas condiciones para entrar a vivir. La vivienda está situada en pla",[],No,155000
17,Casa o chalet independiente en Plantio,La Cañada,Paterna,Chalet,"Casa o chalet independiente en Plantio, La Cañada, Paterna",6,350,,,"Bayres inmobiliaria presenta este espetacular chalet en una de las mejor zona de El Plantío. Con una parcela de 1.045m² ajardinada y piscina de 11x5 m, y un jacuzzi, tiene salida a 3 calles, en dos de ellas, entrada para vehiculos.
En planta baja encontramos el gran salón comedor con chimenea, grandes ventanales y sal",['Villa'],Sí,649000
18,Piso en calle Felix Vilar,El Carmen,Manises,Piso,"Piso en calle Felix Vilar, 2 -12, El Carmen, Manises",3,70,,,"Se trata de una vivienda del año 1963, actualmente ALQUILADA hasta julio de 2025, exterior con balcón. Muy luminosa, reformada. 3 habitaciones, cocina, salón comedor y baño. Con altas de suministros Gas Ciudad, electrodomésticos y amueblada. 4º SIN ASCENSOR.
ref: PIS_1323.",[],No,94000
19,Piso en Centro Ciudad,Piso en Centro Ciudad,Paterna,Piso,"Piso en Centro Ciudad, Paterna",2,55,,Planta 1ª sin ascensor,"Funcional piso en Paterna, Valencia, perfecto para parejas. El inmueble cuenta con una superficie de 54 m² construidos distribuidos en 2 habitaciones, salón-comedor, cocina además de 1 aseo. Se encuentra en el centro de Paterna, en sus alrededores encontramos el Colegio Concertado de Enseñanza La Salle Paterna, superme",[],No,51000
20,Casa o chalet independiente en Entrecruces,La Cañada,Paterna,Chalet,"Casa o chalet independiente en Entrecruces, La Cañada, Paterna",4,379,,,"Presentamos este magnífico chalet en La Cañada, zona Entrecruces, de 370m², sobre una parcela de 2780m². ajardinaday con piscina.
En planta principal, tenemos el salón, el comedor, ambos con salida a una espléndida terraza en L, la cocina comedor, un baño y 2 habitaciones.
En la primera planta, encontramos 2 habitaci",['Villa'],Sí,1200000
21,Casa o chalet independiente en La Presa - Collado - La Malla,Casa o chalet independiente en La Presa - Collado - La Malla,Manises,Chalet,"Casa o chalet independiente en La Presa - Collado - La Malla, Manises",3,213,,,"Estupendo Chalet en la Malla para vivir todo el año, en medio del campo a un paso de la ciudad.
Parcela de 2.334m2 a dos calles con una casa de 107m2 más garaje de 69m2.
La vivienda costa de 3 amplísimas habitaciones todas ellas con ventana a la calle, gran salón comedor, cocina, un baño dentro. En la parte exterior e",[],No,300000
22,Casa o chalet independiente en calle 408,La Cañada,Paterna,Chalet,"Casa o chalet independiente en calle 408, La Cañada, Paterna",5,220,,,".
Estas deseando vivir en la urbanización de La Cañada… te presentamos una oportunidad única de vivir en un chalet con vistas a una pinada y en una zona tranquila.
La casa consta de dos plantas. En la Planta baja nada más entrar nos encontramos con un recibidor que distribuye en su parte derecha un entresuelo con una",[],Sí,479990
23,Piso,en Aldaia,Manises,Piso,Piso en Aldaia,3,98,,,"+++ EXPERCASA ALDAIA dispone en EXCLUSIVA un BAJO VIVIENDA TOTALMENTE REFORMADO de 90m2 en la calle Mare Rafols, Aldaia.
Venta de Exquisita Propiedad Reformada a Estrenar en Ubicación Privilegiada
Presentamos esta excepcional vivienda de 90 m² en planta baja, completamente reformada y amueblada con un estilo moderno",[],No,165000
24,Piso,en Aldaia,Manises,Piso,Piso en Aldaia,2,107,,Planta 2ª exterior con ascensor,"EXPERCASA ALDAIA dispone en EXCLUSIVA una vivienda seminueva de 107m2 CON GARAJE INCLUIDO, situada en una segunda altura CON ASCENSOR, en la calle Riu Vinalopó de Aldaia.
Se ofrece en venta este impecable piso de 2 habitaciones, ubicado en una finca seminueva, con una distribución funcional y materiales de alta calida",[],Sí,149900
25,Piso en Centro Ciudad,Piso en Centro Ciudad,Paterna,Piso,"Piso en Centro Ciudad, Paterna",4,89,,Planta 4ª exterior sin ascensor,"Estupendo piso en Paterna, zona de CAMPAMENTO - LA SALLE, a un paso del centro y junto a la estación del metro de Campamento, excelentemente comunicado y junto a todos los servicios.
La vivienda está situada en la cuarta planta del edificio, lo que la hace una vivienda muy agradable y luminosa. Consta de un amplio reci",[],No,126000
26,Chalet adosado en Quart,de Poblet,Manises,Chalet,Chalet adosado en Quart de Poblet,5,352,,,"Casa urbana con garaje y varias terrazas situada en zona Consum del Barrio del Cristo (Aldaia).
El inmueble tiene una superficie de parcela de 252 m2, cuya vivienda dispone de una superficie construida de 352 m2 que se compone en planta baja (142 m2 de vivienda, 41 m2 de garaje y 35 m2 de terraza), planta primera (119",[],Sí,360000
27,Casa o chalet independiente en La Cañada,Casa o chalet independiente en La Cañada,Paterna,Chalet,"Casa o chalet independiente en La Cañada, Paterna",6,550,,,"Si estas buscando espacio, hogar y disfrutar en familia esta es tu vivienda. Esta impresionante propiedad cuenta con 550 m2 de vivienda y una amplia parcela de 2202 m2. En la planta baja, encontrarás un recibidor, un aseo de cortesía, un amplio comedor con chimenea, una sala de estar a doble altura, una espaciosa cocin",[],Sí,1290000
28,Piso en mayor,Centro Ciudad,Manises,Piso,"Piso en mayor, 87, Centro Ciudad, Manises",4,120,1.0,Planta 1ª exterior sin ascensor,"REF 5910 piso en Manises en zona Centro, es un 1º sin ascensor de 96 metros, con 4 habitaciones y 1 baño, cocina independiente para terminar a cargo y gusto del nuevo propietario y salón comedor.
La puerta de entrada es blindada, con suelo de terrazo, paredes estucadas y puertas de roble.
Los gastos de comunidad son 20",[],No,146000
29,Dúplex en avenida Puigcampana,Dúplex en avenida Puigcampana,Aldaia,,"Dúplex en avenida Puigcampana, Aldaia",2,170,,Planta 3ª exterior con ascensor,"Se vende precioso ático duplex con una terraza ideal.
Tiene 120 m2 útiles y una terraza grande de 45 m2, sin ninguna finca delante.
La planta de abajo tiene un cuarto de baño completo con bañera y una habitación muy grande (en su día fueron dos), con un armario empotrado hecho a medida de pared a pared como un vestid",[],No,183500
30,Piso en calle Rodrigo Botet,El Mercado,Manises,Piso,"Piso en calle Rodrigo Botet, 2, El Mercado, Manises",4,72,1.0,Planta 5ª exterior sin ascensor,"REF 5933 piso en Manises en zona El Mercado, es un 5º SIN ASCENSOR de 64 metros útiles, con 4 habitaciones y 1 baño, cocina independiente y salón comedor, con balcón.
La puerta de entrada es blindada, con suelo de gres, paredes estucadas, puertas de roble, con aire acondicionado.
La vivienda está en buen estado.
Se enc",[],No,123000
31,Piso,en Aldaia,Manises,Piso,Piso en Aldaia,5,181,,,"+++EXPERCASA ALDAIA dispone en VENTA un BAJO VIVIENDA de 180m2, en perfecto estado para entrar a vivir, en Aldaia.
Amplia propiedad en planta baja de 180 m² con 5 habitaciones y dos terrazas – Una oportunidad única en el mercado
Le presentamos esta excelente propiedad en planta baja, con una superficie de 180 m², que",[],No,180000
32,Piso en Quart,de Poblet,Manises,Piso,Piso en Quart de Poblet,3,66,,Planta 4ª exterior sin ascensor,"REF: 1960 Venta de piso en Quart de Poblet. Vivienda de 65 metros cuadrados distribuidos en dos amplias habitaciones dobles y una individual, baño con ducha, cocina totalmente equipada y salón comedor. Situado en la Zona del polideportivo de Quart de Poblet.
Vivienda en cuarto piso sin ascensor, cercano a comercios, pa",[],No,84000
33,Piso en calle Nou d'Octubre,Santa Rita,Paterna,Piso,"Piso en calle Nou d'Octubre, Santa Rita, Paterna",2,86,,Planta 3ª sin ascensor,"Piso de 89 m² en venta, de 2 dormitorios situado en la localidad de Paterna, provincia de Valencia. La vivienda está comunicada mediante la estación del tren a pocos minutos, parada de TRAM, autobuses con las líneas L140A, L140B, L142A y L142B y mediante el acceso viario CV-365. La zona dispone de equipamiento variado,",[],No,74000
34,Casa o chalet independiente en La Cañada,Casa o chalet independiente en La Cañada,Paterna,Chalet,"Casa o chalet independiente en La Cañada, Paterna",4,200,,,"VENTA DIRECTAMENTE DEL PROPIETARIO
Casa con una superficie aproximada de 200 m2 de una sola planta, casi 700 m2 de parcela y con ubicación inmejorable.
Lista para entrar y vivir.
Maravillosa casa de una sola planta en La Cañada en el corazón de El Plantio, la ubicación más buscada de este distrito, a pocos minutos an",['Villa'],Sí,595000
37,Chalet pareado en calle 566,La Cañada,Paterna,Chalet,"Chalet pareado en calle 566, La Cañada, Paterna",3,130,,,"Gedeval pone a su disposición fantástico pareado recién reformado, a estrenar, en urbanización Santa Rosa en La Cañada, en pleno corazón de la naturaleza, en el pulmón de Valencia.
Una oportunidad única, se encuentra situada en una ubicación inmejorable, cuenta con todos los servicios necesarios, farmacia, ambulatorio",[],Sí,380000
38,Chalet adosado en Centro Ciudad,Chalet adosado en Centro Ciudad,Paterna,Chalet,"Chalet adosado en Centro Ciudad, Paterna",5,200,2.0,,"Fantástica casa de pueblo de 2 plantas, 5 habitaciones y 2 baños, en Paterna.
200 m2 construidos. Orientación Norte - Este.
Se puede dividir en dos viviendas independientes.
Terraza, patio interior y balcón.
2 cocinas.
Calefacció eléctrica y aire acondicionado.
Suelo mosaico original, ventanas y puertas de madera",[],Sí,376000
39,Piso en calle Roger de Flor,Piso en calle Roger de Flor,Quart de Poblet,Piso,"Piso en calle Roger de Flor, Quart de Poblet",4,86,,,"Inmueble sin posesión y sin acceso al interior. Las fotografías del interior y las características del activo, pueden no ajustarse al estado actual. NO COBRAMOS COMISIÓN DE INTERMEDIACIÓN AL COMPRADOR
¡Tenemos en exclusiva una vivienda para ti!
Disponemos de un piso que puedes adquirir en propiedad, muy bien distribu",[],No,93000
40,Piso en Quart,de Poblet,Manises,Piso,Piso en Quart de Poblet,3,52,,Planta 2ª exterior sin ascensor,"¡Oportunidad única de adquirir tu hogar en Quart de Poblet!
Este acogedor piso, situado en una finca del año 1965, está a la venta por 105.000 €.
Ubicado en una segunda planta sin ascensor, ofrece 50 metros cuadrados de espacio bien distribuido, ideal para quienes buscan un lugar práctico y confortable.
El inmueble",[],No,105000
41,Piso en calle Ribarroja,Centro Ciudad,Manises,Piso,"Piso en calle Ribarroja, Centro Ciudad, Manises",1,58,,Planta 4ª exterior sin ascensor,"ELEVA PROPERTIES dispone en venta VIVIENDA PARA ENTRAR A VIVIR de 58 m2, situada en el CORAZÓN de MANISES.
 CARACTERÍSTICAS:
 Salón-comedor, con BALCÓN y AIRE ACONDICIONADO.
 Cocina AMERICANA.
 1 Cuarto de baño.
 1 Dormitorio Principal.
 Amueblado y con Electrodomésticos.
¡POSIBILIDAD DE CREAR UN SEGUNDO DORMI",[],No,114000
42,Casa o chalet independiente en calle 321,La Cañada,Paterna,Chalet,"Casa o chalet independiente en calle 321, La Cañada, Paterna",4,160,2.0,,"¡Descubre tu nuevo hogar en La Cañada! Este encantador chalet independiente de 160 m² construidos te ofrece una vida de comodidad y estilo. Con 4 amplios dormitorios, incluyendo una acogedora buhardilla, y 2 baños completamente equipados, esta vivienda es perfecta para familias que buscan espacio y funcionalidad. El sa",[],Sí,379000
43,Estudio en puig,Alameda Park,Manises,,"Estudio en puig, Alameda Park, Manises",51,51,1.0,Planta 2ª exterior con ascensor,"Ponemos a su disposición éste inmueble en manises, zona alameda park. 50 mts. 2º con ascensor. Muy buen estado. 1 dormitorio con armario empotrado. 1 baño completo. Cocina independiente. Salón comedor con balcón.
Plaza de garaje incluida en el precio.
Actualmente se encuentra alquilado con 2 años de contrato vigente.",['Alquilada'],Sí,139000
44,Casa o chalet independiente en calle Lliri Groc-Pous,Casa o chalet independiente en calle Lliri Groc-Pous,Riba-Roja de Túria,Chalet,"Casa o chalet independiente en calle Lliri Groc-Pous, Riba-Roja de Túria",4,202,,,"ENTER PROPERTIES os presenta este chalet independiente en Riba-roja de Túria!
Este impresionante chalet te espera para convertirse en el hogar ideal para ti y tu familia.
Imagina despertar cada mañana en este encantador chalet, con amplios espacios y una distribución que se adapta perfectamente a tus necesidades.",[],Sí,340000
45,Piso en calle de Ramón y Cajal,El Mercado,Manises,Piso,"Piso en calle de Ramón y Cajal, El Mercado, Manises",3,60,1.0,Planta 4ª exterior sin ascensor,"Nos complace poder ofrecer de Nuestra Mejor Selección este precioso piso ubicado en el Centro de Manises, en zona del Mercado. Se trata de una construcción de 60mtrs de 1965, que esta en una 4ª altura SIN ASCENSOR. Se distribuye en 3 habitaciones, 1 baño, cocina y 2 terrazas para disfrutar al máximo de tu tiempo libre.",[],No,130000
46,Casa o chalet independiente en calle Els Pous,Casa o chalet independiente en calle Els Pous,Riba-Roja de Túria,Chalet,"Casa o chalet independiente en calle Els Pous, Riba-Roja de Túria",4,170,2.0,,"Acierto Gestión Inmobiliaria tiene en venta Chalet Independiente en Ribarroja
Chalet independiente en urbanización consolidada. Dispone de una superficie de parcela de 406m.
Vivienda consta de 170m con 4 habitaciones, salón comedor, 2 baño y cocina independiente.
Terraza cubierta y abierta perfecta para disfrutarla t",[],Sí,240000
47,Casa o chalet independiente en La Cañada,Casa o chalet independiente en La Cañada,Paterna,Chalet,"Casa o chalet independiente en La Cañada, Paterna",5,350,,,"Descubra esta impresionante vivienda diseñada para disfrutar del máximo confort y estilo. Situada en un entorno privilegiado, esta propiedad combina espacios amplios, funcionalidad y detalles exclusivos que la convierten en el hogar perfecto para familias o quienes buscan una vida plena en un entorno distinguido.
Plan",['Villa'],Sí,785000
48,Casa o chalet independiente en calle 29,La Cañada,Paterna,Chalet,"Casa o chalet independiente en calle 29, 58, La Cañada, Paterna",5,186,,,"Chalet Independiente en La Cañada, Valencia – Ubicación Exclusiva y Máximo Confort
Presentamos este chalet independiente en una de las principales calles de La Cañada, una de las zonas residenciales más prestigiosas de Valencia. Con una parcela de 655 m² y 186 m² construidos en dos plantas, esta vivienda combina comod",[],Sí,460000
49,Chalet en calle Grau,La Presa - Collado - La Malla,Manises,Chalet,"Chalet en calle Grau, La Presa - Collado - La Malla, Manises",6,961,,,"""Grupo Inmobiliario Selling House te propone una gran oportunidad ""
Magnífico chalet independiente ubicado en Manises, se encuentra en una zona urbanizada con mucha vegetación en su entorno, tranquilidad, cerca de la presa de Manises y a escasos 10minutos de Valencia.
Quedan todos los servicios necesarios tales como",[],Sí,370000
50,Chalet en Centro Ciudad,Chalet en Centro Ciudad,Manises,Chalet,"Chalet en Centro Ciudad, Manises",4,315,,,"Esta vivienda está ubicada en el corazón de Manises  y cuenta con planta baja espaciosa equipada con aseo, patio  y con vivienda en primea planta.  
La vivienda ubicada en la primera planta cuenta con una reforma reciente que incluye el cambio de cableado eléctrico. Este piso dispone de cuatro dormitorios, salón comed",[],No,410000
51,Piso en El Mercado,Piso en El Mercado,Manises,Piso,"Piso en El Mercado, Manises",2,80,,Planta 1ª exterior con ascensor,"¡Descubre tu nuevo hogar en Manises, zona El Mercado! Este acogedor piso de 80 m² te ofrece comodidad y una terraza de 25 m² con infinitas posibilidades: perfecto para crear tu propio oasis al aire libre, disfrutar de comidas al aire libre o diseñar un espacio chill-out.
La vivienda, lista para entrar a vivir, cuenta",[],No,160000
52,Casa o chalet independiente en calle 612,La Cañada,Paterna,Chalet,"Casa o chalet independiente en calle 612, 18, La Cañada, Paterna",4,219,,,"Esta increíble villa ultra-moderna de una planta en venta en MonteCanada, Paterna es perfecta para aquellos que buscan la máxima calidad, lujo y glamour.
Ubicada en una parcela de 809 m² Y rodeada de propiedades similares de alta gama, esta villa contemporánea orientada al sur de 219 m².
Se compone de un hall de ent",[],No,880000
53,Casa o chalet independiente en La Cañada,Casa o chalet independiente en La Cañada,Paterna,Chalet,"Casa o chalet independiente en La Cañada, Paterna",4,279,,,"Confortable vivienda situada frente a un paraje natural.
Con parcela privada de 476 m², y la vivienda distribuida en tres cómodas plantas de 100 m² aproximadamente cada una, en la planta principal un amplio salón con dos claras estancias, también dispone de una terraza cerrada y habilitada como zona de juegos infantil",['Villa'],Sí,650000
54,Piso en calle Carme,27,Aldaia,Piso,"Piso en calle Carme, 27, Aldaia",2,72,,Planta 1ª exterior sin ascensor,"¡Vivienda de Ensueño! Piso Reformado con Terraza y Mucho Encanto
¿Estás buscando un hogar acogedor y con estilo? ¡Real Vip Home presenta este piso de 72 m² perfecto para ti! Completamente reformado hace menos de 3 años, combina modernidad, amplitud y detalles que te harán sentir en casa desde el primer día.
Detalles",[],No,138000
55,Piso en calle de Ramón y Cajal,El Mercado,Manises,Piso,"Piso en calle de Ramón y Cajal, El Mercado, Manises",3,61,,Planta 4ª exterior sin ascensor,"¡VALENZUELA CONSULTORES PRESENTA EN EXCLUSIVA ESTE FABULOSO PISO!
¡Descubre tu nuevo hogar en el corazón de Manises! Este piso completamente reformado te ofrece la combinación perfecta de comodidad y estilo. Situado en una de las mejores zonas de la ciudad, este acogedor espacio de 60 m² útiles cuenta con tres habitac",[],No,130000
56,Dúplex en calle Maestro Breton,El Mercado,Manises,,"Dúplex en calle Maestro Breton, 4, El Mercado, Manises",2,65,,Planta 1ª exterior con ascensor,"Manises! , desde 199.890 euros, Ático dúplex con terraza a estrenar en la calle Maestro Breton, junto a la plaza Dos de Mayo, próxima entrega de llaves.
Este espectacular ático a estrenar te ofrece una oportunidad única de vivir en una vivienda moderna y luminosa, con todas las comodidades que necesitas. Ubicado en un",[],No,199890
57,Casa o chalet independiente en Barranc del Barato,La Cañada,Paterna,Chalet,"Casa o chalet independiente en Barranc del Barato, 10, La Cañada, Paterna",4,143,2.0,,"4 dormitorios
2 baños
1 comedor-cocina
1 lavadero
1 terraza cubierta y descubierta
superficie construida: 142,89 m²
promoción de 8 viviendas unifamiliares aisladas, de obra nueva con parcela independiente, en la cañada, paterna (valencia).
Fase 12.",[],No,430000
58,Piso en plaza Dos de Mayo,El Mercado,Manises,Piso,"Piso en plaza Dos de Mayo, El Mercado, Manises",4,156,,Planta 4ª exterior con ascensor,"¡Tu nuevo hogar en el corazón de la ciudad de Manises!
Esta vivienda es perfecta para quienes buscan espacio, comodidad, y una ubicación privilegiada. Con 156 m² construidos, esta vivienda ofrece una distribución versátil y moderna:
Ubicación: en el núcleo urbano de Manises (zona el Mercado), la plaza es un punto de",[],No,269000
59,Dúplex en calle de la Baixada del Riu,Centro Ciudad,Manises,,"Dúplex en calle de la Baixada del Riu, Centro Ciudad, Manises",4,140,2.0,Planta 3ª exterior con ascensor,"¡Descubre el dúplex de tus sueños a solo 10 minutos de Valencia! Este espacioso hogar de 140 m² te ofrece la comodidad y tranquilidad que siempre has buscado. Con 4 amplias habitaciones y 2 baños, es perfecto para familias que valoran el espacio y la funcionalidad. Ubicado en una zona serena cerca del río Turia, disfru",[],Sí,230000
60,Ático en calle Penyal d'Ifach,Ático en calle Penyal d'Ifach,Aldaia,,"Ático en calle Penyal d'Ifach, Aldaia",3,158,,Planta 3ª exterior con ascensor,"INMOBILIARIA LA AVENIDA TE TRAE ESTA HERMOSA PROPIEDAD
¡ESPECTACULAR ÁTICO EN ALDAIA CON IMPRESIONANTE TERRAZA Y TODO EL CONFORT QUE NECESITAS! 
Te presentamos este espléndido ático de 158 metros cuadrados, diseñado para ofrecer un hogar lleno de luz, espacio y confort en una de las mejores zonas de Aldaia. Si busca",[],No,190000
61,Piso en calle Ferrandis Luna,El Mercado,Manises,Piso,"Piso en calle Ferrandis Luna, 59, El Mercado, Manises",3,83,,Planta 1ª exterior sin ascensor,"¡Oportunidad única en Manises! Descubre este encantador piso de 79 m² útiles, ubicado en un primer piso, ideal para quienes buscan comodidad y conexión. Construido en 1966, de segunda mano-para reformar, este hogar ofrece tres dormitorios, dos de ellos dobles, un baño completo y un aseo. El salón-comedor es perfecto pa",[],No,110000
62,Casa o chalet independiente en calle del Rossinyol,La Presa - Collado - La Malla,Manises,Chalet,"Casa o chalet independiente en calle del Rossinyol, 1, La Presa - Collado - La Malla, Manises",4,136,,,"Se ofrece esta magnífica propiedad, ubicada en la privilegiada zona de El Collado de Manises. Este chalet unifamiliar combina confort, amplitud y una ubicación ideal, ofreciendo todo lo necesario para quienes buscan calidad de vida en un entorno tranquilo y bien conectado.
Situado a escasos pasos de una parada de auto",[],Sí,370000
63,Piso en calle Major,Centro Ciudad,Manises,Piso,"Piso en calle Major, Centro Ciudad, Manises",4,128,,Planta 2ª exterior con ascensor,"Ponemos a su disposición éste inmueble de venta situado en manises en zona mercado. 116 mts aprox. 2º con ascensor. finca del año 1977. consta de 4 habitaciones, la principal con baño en suite. consta de 1 aseo con plato de ducha. Cocina independiente con reforma reciente. también poseé una galería. Salón comedor con s",[],No,172000
64,Chalet en plaza Dos de Mayo,El Mercado,Manises,Chalet,"Chalet en plaza Dos de Mayo, El Mercado, Manises",4,199,,,"Casa 199 m² en Valencia, Valencia Casa de pueblo en el centro de Manises, con patio interior y muchas posibilidades.
Zona comercial por lo que el bajo se puede dedicar a comercio y la parte de arriba a vivienda.
Se pueden construir bajo y cuatro alturas si se quiere construir finca.
Está comunicado con metro con Valen",[],No,200000
65,Piso en calle Oeste,El Mercado,Manises,Piso,"Piso en calle Oeste, El Mercado, Manises",3,85,,,"Vivienda de VPO, es necesario darse de alta como demandante de vivienda de Protección Oficial.
PISOS del LEVANTE dispone en exclusiva de este piso en Manises a 1 minuto del Metro Las Rosas y a 1 km del Aeropuerto de Manises.
Los 85 m2 construidos se distribuyen en:
- Salón amplio.
- 2 habitaciones amplias exteriores.",[],No,129900
66,Piso en calle Santa Teresa de Jesús,El Mercado,Manises,Piso,"Piso en calle Santa Teresa de Jesús, El Mercado, Manises",3,110,1.0,Planta 2ª exterior sin ascensor,"Ponemos a su disposición éste inmueble de venta situado en manises en la zona mercado. 110 mts aprox. 2º sin ascensor. consta de 3 habitaciones, una de ellas con salida a terraza. 1 baño completo con bañera. cocina independiente. salón comedor con aire acondicionado por split y con salida a balcón. estado de origen. ve",[],No,160000
